experiment,feature_set,model,sample_rows,n_groups,gap_groups,fold,train_start,train_end,valid_start,valid_end,train_rows,valid_rows,feature_count,generated_at,alpha,solver,pearson,rmse,mae,best_iteration,learning_rate,num_leaves,min_data_in_leaf,lambda_l2
feature_pipeline_cv,full,ridge,525886,6,1,1,0,87646,175295,262942,87647,87648,792,2026-07-03T16:51:47,1.0,lsqr,0.01670810642032987,4.185508472253072,2.9509388333344075,,,,,
feature_pipeline_cv,full,lightgbm,525886,6,1,1,0,87646,175295,262942,87647,87648,792,2026-07-03T16:51:47,,,0.04845941070771525,1.0264787861599827,0.6008431343315913,117.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,full,ridge,525886,6,1,2,0,175294,262943,350589,175295,87647,792,2026-07-03T16:51:47,1.0,lsqr,-0.011157619851717792,277.7812690358639,5.164261006219847,,,,,
feature_pipeline_cv,full,lightgbm,525886,6,1,2,0,175294,262943,350589,175295,87647,792,2026-07-03T16:51:47,,,0.072851167701725,1.0820036210894464,0.7045319243199222,656.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,full,ridge,525886,6,1,3,0,262942,350590,438237,262943,87648,792,2026-07-03T16:51:47,1.0,lsqr,-0.0061050525273770575,131.79244540982899,1.585061273851758,,,,,
feature_pipeline_cv,full,lightgbm,525886,6,1,3,0,262942,350590,438237,262943,87648,792,2026-07-03T16:51:47,,,0.08995586415350644,1.190121783613221,0.881536685534203,924.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,full,ridge,525886,6,1,4,0,350589,438238,525885,350590,87648,792,2026-07-03T16:51:47,1.0,lsqr,0.05615933980561679,1.4037685276923377,1.0346989295074887,,,,,
feature_pipeline_cv,full,lightgbm,525886,6,1,4,0,350589,438238,525885,350590,87648,792,2026-07-03T16:51:47,,,0.05038343633867006,1.1625543110865932,0.7874405356240385,529.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,medoid_x_plus_market,ridge,525886,6,1,1,0,87646,175295,262942,87647,87648,32,2026-07-03T17:00:45,1.0,lsqr,0.10751990538536857,1.0068490254582159,0.5996571003504754,,,,,
feature_pipeline_cv,medoid_x_plus_market,lightgbm,525886,6,1,1,0,87646,175295,262942,87647,87648,32,2026-07-03T17:00:45,,,0.05414556752564105,1.015467996092517,0.5989964881186055,177.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,medoid_x_plus_market,ridge,525886,6,1,2,0,175294,262943,350589,175295,87647,32,2026-07-03T17:00:45,1.0,lsqr,-0.011301664701358924,520.134396619083,8.287505586114852,,,,,
feature_pipeline_cv,medoid_x_plus_market,lightgbm,525886,6,1,2,0,175294,262943,350589,175295,87647,32,2026-07-03T17:00:45,,,-0.0007091211881461967,1.0084860084431644,0.613968922007928,1.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,medoid_x_plus_market,ridge,525886,6,1,3,0,262942,350590,438237,262943,87648,32,2026-07-03T17:00:45,1.0,lsqr,-0.006378576857467614,238.54531218026673,1.8774914702953458,,,,,
feature_pipeline_cv,medoid_x_plus_market,lightgbm,525886,6,1,3,0,262942,350590,438237,262943,87648,32,2026-07-03T17:00:45,,,-0.011191302553853094,1.1090751189606651,0.7958517208666288,82.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,medoid_x_plus_market,ridge,525886,6,1,4,0,350589,438238,525885,350590,87648,32,2026-07-03T17:00:45,1.0,lsqr,0.051410675034895575,1.1172990269688876,0.7729764112522063,,,,,
feature_pipeline_cv,medoid_x_plus_market,lightgbm,525886,6,1,4,0,350589,438238,525885,350590,87648,32,2026-07-03T17:00:45,,,0.03730685423928841,1.0637423740890768,0.7034333703247015,1.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,filtered_x_plus_market,ridge,525886,6,1,1,0,87646,175295,262942,87647,87648,32,2026-07-03T17:01:10,1.0,lsqr,0.10751990538536857,1.0068490254582159,0.5996571003504754,,,,,
feature_pipeline_cv,filtered_x_plus_market,lightgbm,525886,6,1,1,0,87646,175295,262942,87647,87648,32,2026-07-03T17:01:10,,,0.05414556752564105,1.015467996092517,0.5989964881186055,177.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,filtered_x_plus_market,ridge,525886,6,1,2,0,175294,262943,350589,175295,87647,32,2026-07-03T17:01:10,1.0,lsqr,-0.011301664701358924,520.134396619083,8.287505586114852,,,,,
feature_pipeline_cv,filtered_x_plus_market,lightgbm,525886,6,1,2,0,175294,262943,350589,175295,87647,32,2026-07-03T17:01:10,,,-0.0007091211881461967,1.0084860084431644,0.613968922007928,1.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,filtered_x_plus_market,ridge,525886,6,1,3,0,262942,350590,438237,262943,87648,32,2026-07-03T17:01:10,1.0,lsqr,-0.006378576857467614,238.54531218026673,1.8774914702953458,,,,,
feature_pipeline_cv,filtered_x_plus_market,lightgbm,525886,6,1,3,0,262942,350590,438237,262943,87648,32,2026-07-03T17:01:10,,,-0.011191302553853094,1.1090751189606651,0.7958517208666288,82.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,filtered_x_plus_market,ridge,525886,6,1,4,0,350589,438238,525885,350590,87648,32,2026-07-03T17:01:10,1.0,lsqr,0.051410675034895575,1.1172990269688876,0.7729764112522063,,,,,
feature_pipeline_cv,filtered_x_plus_market,lightgbm,525886,6,1,4,0,350589,438238,525885,350590,87648,32,2026-07-03T17:01:10,,,0.03730685423928841,1.0637423740890768,0.7034333703247015,1.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,stable_x_plus_market,ridge,525886,6,1,1,0,87646,175295,262942,87647,87648,31,2026-07-03T17:01:34,1.0,lsqr,0.10748516814850768,1.0068321966836136,0.5996210082396017,,,,,
feature_pipeline_cv,stable_x_plus_market,lightgbm,525886,6,1,1,0,87646,175295,262942,87647,87648,31,2026-07-03T17:01:34,,,0.07392005081423077,1.0453348600784278,0.6536153419176102,1253.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,stable_x_plus_market,ridge,525886,6,1,2,0,175294,262943,350589,175295,87647,31,2026-07-03T17:01:34,1.0,lsqr,-0.011302079683224647,529.1824935485212,8.420724246921079,,,,,
feature_pipeline_cv,stable_x_plus_market,lightgbm,525886,6,1,2,0,175294,262943,350589,175295,87647,31,2026-07-03T17:01:34,,,-0.005754276947333887,1.0127179118990368,0.6212811263545001,22.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,stable_x_plus_market,ridge,525886,6,1,3,0,262942,350590,438237,262943,87648,31,2026-07-03T17:01:34,1.0,lsqr,-0.006379431465862869,239.66591819806408,1.8828978957629594,,,,,
feature_pipeline_cv,stable_x_plus_market,lightgbm,525886,6,1,3,0,262942,350590,438237,262943,87648,31,2026-07-03T17:01:34,,,-0.017515714864170945,1.1173267366095423,0.801290922965918,86.0,0.01,31.0,200.0,10.0
feature_pipeline_cv,stable_x_plus_market,ridge,525886,6,1,4,0,350589,438238,525885,350590,87648,31,2026-07-03T17:01:34,1.0,lsqr,0.05149286886005972,1.117242904498814,0.7729697482963694,,,,,
feature_pipeline_cv,stable_x_plus_market,lightgbm,525886,6,1,4,0,350589,438238,525885,350590,87648,31,2026-07-03T17:01:34,,,0.04008525190944588,1.0634819155899362,0.7033518095069107,2.0,0.01,31.0,200.0,10.0
